IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,cluster_label,dataset
484775080_6decd41318_229_7885919@N07.jpg,7885919@N07,-23.248128,16.559486,1,7,30,0.0002047956506876,0.8142371056082993,0.1855581393371501,40,im2gps
62355895_fd04859bea_28_18684820@N00.jpg,18684820@N00,1.286665,103.838653,0,0,29,0.957337578680054,0.0001775603940696,0.0424848594666027,41,im2gps
192922377_2812411201_64_39303693@N00.jpg,39303693@N00,33.078241,-116.602159,0,1,133,0.9969005748864106,6.854345501583481e-05,0.0030309395788097,42,im2gps
1125007623_477d5426e9_1379_93455345@N00.jpg,93455345@N00,37.331948,136.785278,0,2,364,0.532469423899741,0.0071277249174208,0.46040286759753,43,im2gps
231684287_aff6d170ca_93_32367657@N00.jpg,32367657@N00,-17.922555,13.859147,0,12,353,0.5702967932302285,0.0735250974551995,0.3561781312699592,44,im2gps
199527753_19fa9e6074_70_85971448@N00.jpg,85971448@N00,38.671304,34.839363,2,11,13,0.0221545090253938,0.3978543271913253,0.5799911724607885,45,im2gps
1297522299_1d487977b3_1008_85417391@N00.jpg,85417391@N00,41.823005,-72.443321,1,8,150,0.0008006446577795,0.961106980678494,0.0380923848553482,46,im2gps
267246433_1d0488c673_94_40829484@N00.jpg,40829484@N00,49.785475,6.297912,1,6,110,0.0148096614529151,0.7281047435528762,0.2570855954891158,47,im2gps
117409880_be8da6a355_37_18684820@N00.jpg,18684820@N00,10.784407,106.680679,2,10,170,0.448088463739225,0.0016162982743246,0.5502952538114094,48,im2gps
370466433_9a9a57d5fc_138_75653366@N00.jpg,75653366@N00,41.981505,2.818508,0,2,3,0.9882630079270168,0.0019968065531585,0.0097402823593968,49,im2gps
370692913_f8b577bc3f_124_13527886@N00.jpg,13527886@N00,21.953235,-78.728027,0,0,274,0.9387285282374762,0.000225462975731,0.0610460562150834,50,im2gps
326109501_3966b437eb_134_56249023@N00.jpg,56249023@N00,-41.198548,-71.312599,1,7,234,2.640045880220044e-05,0.9979919503695314,0.0019817179330641,51,im2gps
302413540_7294dc0ece_119_79756109@N00.jpg,79756109@N00,40.759074,-73.979852,0,5,316,0.691070418875313,0.0027281255961355,0.3062015075636424,52,im2gps
338612532_488a7843f5_124_65367662@N00.jpg,65367662@N00,36.74989,-118.83773,2,7,364,0.0151726583790008,0.4910638692994098,0.4937635076297422,53,im2gps
387971786_0a3a7d4ea4_145_75452460@N00.jpg,75452460@N00,46.868641,10.884017,1,6,234,0.0001178428919832,0.9622220751878244,0.0376600118038936,54,im2gps
311344213_4b003f4ab1_114_63163416@N00.jpg,63163416@N00,28.597936,77.19552,2,11,200,0.0091084957773475,0.1254422187041655,0.8654493334455537,55,im2gps
207074756_a378657b87_84_81421684@N00.jpg,81421684@N00,39.953725,116.410231,1,8,265,0.0032807735371847,0.5132146976566965,0.4835046258141489,56,im2gps
522503678_d890e18189_238_61819159@N00.jpg,61819159@N00,-25.347283,131.055049,1,7,116,0.0044792132023161,0.9473148445024436,0.048206005393041,57,im2gps
1260064233_97929e63ac_1258_11786349@N08.jpg,11786349@N08,18.809792,98.856525,1,9,291,0.0008148592027943,0.533619215580984,0.4655659194027564,58,im2gps
56841609_50e523afbb_24_84498284@N00.jpg,84498284@N00,41.902524,12.520766,0,5,69,0.7777206066322151,0.0050328716455396,0.2172466043973031,59,im2gps
371341643_33f0c52f03_179_62126383@N00.jpg,62126383@N00,23.021604,-82.210006,1,12,254,0.0038835920174165,0.5153944456315003,0.4807220085260155,60,im2gps
127865347_3ef9196bc8_54_42485416@N00.jpg,42485416@N00,40.771636,-73.973693,2,15,125,0.0014197962262869,0.1004069503627533,0.8981732421410697,61,im2gps
1223225942_44420da21b_1061_65768710@N00.jpg,65768710@N00,-33.927551,151.254272,0,5,61,0.8686970269574701,0.0046033716538147,0.1266995277372871,62,im2gps
1224896902_5acf368aa5_1062_48637819@N00.jpg,48637819@N00,50.279906,8.52539,2,12,7,0.0075847875254084,0.456553222441741,0.5358621023516399,63,im2gps
1429153870_ab4563bc6e_1252_77235581@N00.jpg,77235581@N00,58.261277,-6.139812,2,10,142,0.0001574293519013,0.1699803379317899,0.8298621891354241,64,im2gps
260653368_ddc2b0dbaa_110_26519935@N00.jpg,26519935@N00,1.446436,103.724498,1,8,150,0.0878438283638161,0.6829893658874653,0.2291667689136787,65,im2gps
347095082_65d1b5836c_148_77235581@N00.jpg,77235581@N00,58.202872,-6.379451,1,6,194,0.0026323625808117,0.8990687179218639,0.0982989183710287,66,im2gps
160432037_5c2a37ec92_76_70323761@N00.jpg,70323761@N00,36.412303,25.42983,2,8,105,0.3470547906240568,0.2321275894576615,0.4208175531763345,67,im2gps
150023825_1be7481535_52_18684820@N00.jpg,18684820@N00,37.350611,-121.98252,0,0,147,0.4973461689034855,0.4690596608157946,0.0335941994851248,68,im2gps
343826237_57941e9a77_166_59398218@N00.jpg,59398218@N00,12.653068,-7.987232,0,0,122,0.7937612158806928,0.0379510039358592,0.1682877481967608,69,im2gps
359701140_96350336bd_152_77235581@N00.jpg,77235581@N00,58.250056,-6.342372,2,12,24,0.0073888265746795,0.0176955484597272,0.9749155014093702,70,im2gps
258180274_0e064dfdd9_92_26519935@N00.jpg,26519935@N00,1.328454,103.73497,2,12,7,0.2341773682791892,0.1081995128224218,0.6576230899577933,71,im2gps
233644773_e2caabe0bc_83_83794921@N00.jpg,83794921@N00,47.059013,8.307037,2,10,79,0.00804467714795,0.0929839855633076,0.8989713733095641,72,im2gps
291580562_26169a9817_118_40279823@N00.jpg,40279823@N00,13.770064,100.515632,2,14,184,0.0068772889934507,0.0100629264489953,0.9830597418747402,73,im2gps
379693524_e88d00b1f2_155_77235581@N00.jpg,77235581@N00,58.202872,-6.379451,0,0,147,0.9561253372713856,0.0103382716195872,0.033536374895462,74,im2gps
5d_04_229016671.jpg,41838028@N00,51.962858,5.89262,2,12,316,0.2698264374765458,0.0287449010505476,0.7014286707966679,0,mp16
52_d7_2664611340.jpg,44572879@N00,43.497195,6.529253,1,8,141,0.0135603968537907,0.8617660242816783,0.1246736336299818,1,mp16
af_68_2360145132.jpg,11249847@N00,-0.619685,104.458007,2,15,286,0.0144141146269798,0.0259908440064945,0.959595074959558,3,mp16
3d_cb_1243300705.jpg,85795863@N00,-35.147985,150.671224,1,8,62,0.0313488258667575,0.7163904128300373,0.2522607638829868,4,mp16
8a_70_2322272834.jpg,48973837@N00,8.050051,98.908195,0,1,179,0.9712352083077748,0.0063384098463572,0.0224264478781375,5,mp16
17_52_1015773168.jpg,13967469@N00,36.016059,-114.737874,2,10,113,0.0294404940352368,0.298586172379649,0.6719732468895063,6,mp16
02_8c_1392868763.jpg,33014369@N00,43.349711,-81.477355,0,5,21,0.9829209490480936,0.0044835726272367,0.0125953310300133,7,mp16
6a_6a_7822164768.jpg,54337195@N05,44.8895,11.063,2,12,53,0.0108300740693332,0.0130613893120798,0.976108575035136,8,mp16
54_ae_3740929521.jpg,97875516@N00,60.316068,-143.684692,1,6,48,0.0002840119184628,0.9539814743451503,0.0457345523396419,9,mp16
3c_44_7658372718.jpg,48712917@N02,-20.420939,-49.958986,0,2,281,0.9668369369360336,0.0042443363154802,0.028918757555914,10,mp16
64_a0_4411126469.jpg,89958805@N00,36.081569,-115.17723,2,12,312,0.1729229720254057,0.0215184972726589,0.8055585473838214,11,mp16
60_de_4625460779.jpg,26950895@N05,8.66673,-75.103569,1,6,116,0.0189938537627654,0.9352968010348376,0.0457093136301125,12,mp16
48_bf_78917524.jpg,88542886@N00,-25.29957,-57.62947,2,12,268,0.0273527173964538,0.2437980998892044,0.7288492939928801,13,mp16
88_cc_6988012612.jpg,43405845@N05,36.086333,133.217,2,14,292,0.0271351882356789,0.34307175295001,0.6297930848514071,14,mp16
e3_1e_9344810846.jpg,47843154@N07,35.538333,133.2315,0,4,195,0.9784426399341132,0.0033605213835432,0.01819699924462,15,mp16
17_e2_203492071.jpg,67126480@N00,-34.016241,146.953125,2,15,319,0.0255529472045168,0.0256298256606726,0.9488172074518104,16,mp16
19_dd_473544342.jpg,17033138@N00,48.106141,7.192826,1,6,187,0.242514185641653,0.4209570643038205,0.3365288004776019,17,mp16
0f_3e_4260945237.jpg,21889428@N03,7.561439,99.058742,1,8,359,0.070975948031021,0.6974838638979435,0.231540171261307,19,mp16
ce_3d_4775736277.jpg,52529715@N00,40.964118,-79.032039,2,15,272,0.1294889041370908,0.0167612248172659,0.8537498150250116,20,mp16
cd_08_9763196456.jpg,90995519@N05,41.591327,2.581122,0,0,129,0.6941883245062854,0.0232942726454439,0.282517472339407,21,mp16
97_7f_4470167418.jpg,48576195@N04,36.372567,127.388035,2,12,66,0.0189266604631086,0.155727780527286,0.8253454700643488,22,mp16
39_b8_6253234997.jpg,12099546@N03,29.387513,47.837952,2,12,353,0.0164322268334764,0.4293903505028993,0.5541774199394567,23,mp16
63_36_5826547591.jpg,13880897@N06,40.441288,-80.009522,0,1,7,0.6057631308614759,0.0208134677939142,0.3734234557735476,24,mp16
2c_b2_265524117.jpg,72511054@N00,42.587434,-78.037991,1,6,48,0.0048284603809627,0.9677173045166082,0.0274543016314846,25,mp16
07_1a_7982601471.jpg,73825576@N04,-41.113612,-70.770278,1,7,234,0.0121837087527651,0.9483240936629328,0.0394922851514536,26,mp16
6b_f3_184650926.jpg,81681077@N00,52.935396,5.581054,1,9,268,0.0173802147626987,0.6097116552221911,0.3729081357934947,27,mp16
63_8f_6921855290.jpg,77035800@N06,37.800736,126.875841,1,6,356,0.046933871642004,0.7365115162849634,0.2165545968400124,28,mp16
a9_8b_8267473236.jpg,35264349@N02,41.120058,-80.332696,2,8,57,0.0207477831179403,0.4676856466548997,0.5115666484641679,29,mp16
2c_34_227552165.jpg,21116407@N00,36.578351,-118.056496,0,1,93,0.9783523813533036,0.0059609425876629,0.0156866217683528,30,mp16
3a_5f_5439043836.jpg,59116326@N02,60.258966,16.050209,2,14,201,0.0315966883900884,0.191675896282021,0.7767274110568394,31,mp16
b1_26_5322983274.jpg,45679098@N00,20.212,-87.460999,1,8,150,0.0032459638383741,0.957006718344246,0.0397474700273789,32,mp16
82_26_11962129804.jpg,97236816@N00,51.562769,3.49533,2,11,257,0.0080232153014776,0.0095636063942947,0.9824131702406476,33,mp16
e5_a6_8313192833.jpg,48889054224@N01,1.284509,103.864724,1,8,333,0.036558798513937,0.4839763491491453,0.479464829059367,34,mp16
2b_2c_277536077.jpg,33167187@N00,40.813472,-78.038216,2,14,299,0.0255699454234843,0.1482984029856879,0.8261315592889389,35,mp16
98_85_458152110.jpg,7196944@N02,39.926588,-3.735351,0,5,250,0.9748171704402891,0.0064179103673609,0.0187649825000164,36,mp16
17_0b_8618450733.jpg,52193079@N03,39.20306,-96.304864,0,6,16,0.4627549391656202,0.4212206777494884,0.1160243169307619,37,mp16
4c_6b_4869858973.jpg,8380265@N02,5.709849,-72.936309,0,0,50,0.949164128154102,0.0157062797832026,0.0351297459940695,39,mp16
df_20_241807875.jpg,95348813@N00,-35.435778,-60.190315,2,11,86,0.0183373594696707,0.0385861581945441,0.9430765096733752,40,mp16
57_fe_5997549449.jpg,32094077@N06,29.327114,47.876358,2,10,71,0.3282289425353326,0.0384053041621186,0.6333658098654773,41,mp16
60_93_2809407434.jpg,23326093@N06,62.098982,7.207889,1,8,150,0.0056747860384263,0.9628438375200404,0.0314813333417589,42,mp16
9c_ad_405049768.jpg,30611635@N00,36.836767,-114.062805,1,7,350,0.0260820670490034,0.6043948177466518,0.3695230354978775,46,mp16
88_17_6193650611.jpg,58876504@N02,35.152056,129.118709,2,12,76,0.4026705160176789,0.03161391386584,0.5657155636134803,47,mp16
36_97_300242486.jpg,23565786@N00,-25.728467,28.197097,1,6,187,0.0572064578269788,0.6841619996830559,0.2586316124493066,48,mp16
7a_69_7994821542.jpg,26813627@N00,48.747728,-122.477917,2,10,79,0.2925375727584764,0.0299966661801391,0.6774658092018342,49,mp16
89_5e_7338935504.jpg,77629917@N02,52.008964,5.898692,0,3,320,0.8221537630095952,0.0166796340915666,0.1611665902663119,50,mp16
21_f1_319757810.jpg,71378407@N00,30.524782,-90.476531,0,1,248,0.9776347769677614,0.0037955254564536,0.0185696496164524,51,mp16
af_f5_7078875049.jpg,39033598@N00,36.746853,-118.973103,2,14,74,0.0139935904105215,0.0208864761725635,0.9651198746974784,52,mp16
89_bc_5250844548.jpg,49402562@N04,24.445586,118.088092,2,15,270,0.0235793390810883,0.0241176037797288,0.9523030318816836,54,mp16
86_e8_1716059474.jpg,8735589@N07,50.896374,4.336595,2,12,7,0.0194186706420219,0.2182022391951363,0.762379035590385,55,mp16
5e_c8_3860463644.jpg,28484296@N03,39.071445,8.63491,1,6,145,0.0294729029646241,0.7274743214064756,0.2430527967798355,56,mp16
f8_eb_7752713362.jpg,8263509@N05,-33.973167,151.252667,0,12,294,0.5153525152472582,0.0345877895693718,0.4500597933613228,57,mp16
c6_d2_4761770814.jpg,10305258@N02,39.401433,8.399963,2,13,354,0.0303908254292935,0.2400466936706493,0.729562466986124,58,mp16
d1_7c_370068108.jpg,49175464@N00,11.70603,92.724609,1,6,204,0.0016528073297088,0.949591374133746,0.0487558303075843,59,mp16
35_49_6285535021.jpg,49741742@N00,40.656289,17.702579,0,3,336,0.9769256198740665,0.0025582481675883,0.0205161714189401,60,mp16
d1_e0_6489358921.jpg,19217236@N00,-33.827,151.267333,2,11,84,0.0272704660807221,0.2476320520806325,0.7250974939245225,61,mp16
a0_86_2074886382.jpg,21276006@N05,23.126784,-82.394714,2,10,170,0.2518216434986797,0.03892390971302,0.709254359768579,64,mp16
41_a5_6797936881.jpg,74397567@N00,-17.130291,-56.079711,1,8,105,0.0178211869828054,0.4921341939720411,0.4900445153564028,65,mp16
81_90_4354114212.jpg,50501691@N00,23.21276,113.227261,0,5,315,0.7657484067990481,0.0394381056745913,0.1948135324334003,66,mp16
30_9f_5216803192.jpg,42197116@N06,41.07686,-80.095438,1,7,306,0.0254293034504939,0.8156775052220837,0.1588931528190755,67,mp16
14_e2_7767083156.jpg,38786700@N00,48.755184,-122.502665,2,13,103,0.0240213356495004,0.017417761245241,0.9585608964990372,68,mp16
af_60_11258618325.jpg,42477684@N08,37.500057,130.857124,1,7,94,0.0002871228657017,0.957239995202599,0.0424728956156741,69,mp16
f9_11_5517107468.jpg,58826912@N05,50.911097,4.354791,2,11,226,0.0790297832466819,0.0127653308983326,0.9082049330722696,70,mp16
61_5c_8615735944.jpg,12694900@N08,8.69868,-71.435223,1,8,249,0.0336455497706289,0.6647178572171697,0.3016366043209473,71,mp16
97_49_9660598682.jpg,99011947@N07,-19.014667,-53.8585,2,14,201,0.0157812923716505,0.0340580873159955,0.9501605718724542,72,mp16
b9_a2_271537959.jpg,75321389@N00,52.371698,5.22093,0,1,317,0.4915298895078308,0.0217510822219537,0.486719129263065,73,mp16
21_5e_3292569430.jpg,8471767@N05,21.042444,105.833358,2,8,62,0.0295219613307669,0.4848690733130496,0.4856089997226647,74,mp16
a6_07_8379598790.jpg,15259736@N00,48.861355,-121.682596,2,12,305,0.022118854292966,0.3576991159496003,0.6201819755502171,75,mp16
85_ff_112172092.jpg,70522775@N00,52.36745,1.703138,1,7,116,0.0047522735150744,0.972628566227435,0.0226191234452444,76,mp16
4d_4e_4349560245.jpg,64913008@N00,40.782324,-77.873003,2,12,351,0.0214871144915065,0.3085185770733005,0.6699943059059024,77,mp16
ef_0f_226943653.jpg,36876413@N00,15.474857,-88.176269,0,4,64,0.7486093074836191,0.0367640801687514,0.2146266207562632,78,mp16
50_15_3248687332.jpg,33886523@N00,30.44378,-91.188733,0,4,16,0.8155810893892337,0.022969873020088,0.1614490466482152,79,mp16
b3_31_6213761275.jpg,58876504@N02,35.85683,129.245895,2,10,174,0.191513542607411,0.0141800033979362,0.7943063752899588,80,mp16
c5_c5_8234726848.jpg,29512314@N02,48.679882,6.17011,0,2,268,0.4687596221795317,0.2372424286968031,0.2939978324783035,82,mp16
65_b9_37989725.jpg,11414631@N00,59.067207,18.38724,0,0,122,0.9736490427142428,0.0041190314775292,0.0222317654996686,83,mp16
3c_75_331202014.jpg,89056025@N00,40.650624,-78.244457,1,7,13,0.0248964513248566,0.6445805225102959,0.3305230498332321,84,mp16
